NO,LICENCE NUMBER,NAME OF PHARMACY,TYPE,LOCATION,MMDA,REGION
1,PC/AS/R/0261J,10 O'CLOCK PHARMACY,Retail,"H/NO. MZ 13 ANTOAKROM STREET TOWN STREET
ANTOAKROM",AMANSIE WEST,Ashanti
2,PC/GR/R/0558K,18 KADMAT PHARMACY LIMITED,Retail,H/NO. GB 12 CP TAXI RANK GBAWE,GA SOUTH,Greater Accra
3,PC/WR/WR/0328J,180 PLUS PHARMACY LTD,Wholesale/Retail,H/NO. 33 KUMASI ROAD GYEDI BIBIANI,BIBIANI-ANHWIASO BEKWAI,Western
4,PC/WR/WR/0229M,2 CAPSULES PHARMACY,Wholesale/Retail,"MANKESSIM WHITE HOUSE, TAKORADI",SEKONDI-TAKORADI,Western
5,PC/ER/R/0503L,27TH PHARMACY LTD,Retail,"H/NO. E43 POST OFFICE ROAD GLORY OIL SERVICE STATION
DONKOKROM",KWAHU AFRAM PLAINS SOUT,Eastern
6,PC/AS/R/0103A,2SD PHARMACY,Retail,AG-0576-08068 METHODIST HOSPITAL STREET - ABURASO,ATWIMA KWANWOMA,Ashanti
7,PC/AS/R/0010E,360 PHARMACY LTD.,Retail,"PLOT NO. 16,BLOCK IV BUOKROM HIGH STR. BUOKROM
KUMASI",KMA,Ashanti
8,PC/GR/R/0395K,3A HEALTH PHARMACY LTD.,Retail,BLOCK 7 OPPOSITE EDO HOUSE  FRIMPONG-WE BUBUASHIE,AMA,Greater Accra
9,PC/GR/R/0189E,3CARE PHARMACY LTD,Retail,"OPP. LA BAWALESHIE PRESBY SCH. - - OKPONGLO-
BAWALESHIE",GA EAST,Greater Accra
10,PC/CR/W/0078P,3J's PHARMACY,Wholesale,STORE 1 & 2 NEW MARKET ROAD - KASOA,AWUTU SENYA EAST,Central
11,PC/GR/R/0456K,3J'S PHARMACY,Retail,H/NO. GL 022 NII TETTEH JAMES STREET RICO LA,LA NKWANTANANG-MADINA,Greater Accra
12,PC/GR/R/0026E,3KS PHARMACY LTD.,Retail,H/NO. 4 ASOFAN HIGH STREET - ACCRA,GA WEST,Greater Accra
13,PC/GR/R/0226E,3M & C PHARMACY,Retail,H/NO. 1  COTTON STREET EAST LEGON LEGON,GA EAST,Greater Accra
14,PC/GR/R/0454L,4A'S PHARMACY LIMITED,Retail,GK-0566-0647 - SANTEO TEMA,TMA,Greater Accra
15,PC/AS/R/0111D,4TRESS PHARMACY LTD.,Retail,"PLOT NO. 87, SOUTH ASHIAM - - ESERESO",BOSOMTWE,Ashanti
16,PC/ER/WR/0319J,5K PHARMACEUTICALS LIMITED,Wholesale/Retail,H/NO. A170 SARFI BAGOBIRI STREET ZONGO ASAMANKESE,WEST AKIM,Eastern
17,PC/AS/R/0084E,7 DAYS PHARMACY LTD.,Retail,"PLOT NO. 17, BLOCK C  KRONUM KRONUM",KMA,Ashanti
18,PC/AS/R/0199E,7 STARS CHEMIST LTD.,Retail,"PLOT 3, PFS SUAME-OFFINSO RD. - BREMAN",KMA,Ashanti
19,PC/AS/R/0372K,72ND PHARMACY LTD,Retail,"PLOT C, CHIRAPATRE ESTATE",KMA,Ashanti
20,PC/AS/R/0093N,77 ELIXERS PHARMACY,Retail,"OTN 52, BLOCK 52 - AHENBRONUM KONONGO",ASANTE AKIM CENTRAL,Ashanti
21,PC/AS/R/0317K,77 ELIXIRS PHARMACY,Retail,"PLOT 1, BLOCK 7, AGOGO",ASANTE AKIM NORTH,Ashanti
22,PC/NR/R/0188F,A & A PHARMACY CONSULT LTD.,Retail,"NAAGAMNI FILLING STN, NIM AVE, JAKARIYILLI, TAMALE",TAMALE,Northern
23,PC/WR/WR/0016N,A & B PHARMA LIMITED,Wholesale/Retail,"H/NO. AP 1/10E, APOWA",AHANTA WEST,Western
24,PC/CR/WR/0158G,A AND E PHARMACY LTD.,Wholesale/Retail,"H/NO. STORES 1 & 2 ACCRA RD, PACIFIC FILLING STATION,
MANKESSIM",MFANTSEMAN,Central
